DateFormatted,Globalstraling,Solskinstid,Lufttemperatur,Lufttrykk,Vindkast,hour,d_Friday,d_Monday,d_Saturday,d_Sunday,d_Thursday,d_Tuesday,d_Wednesday,month,weekend,public_holiday,raining,summer,winter,rush_hour,sleeptime,Vindretning_x,Vindretning_y,Total_trafikk
2023-06-05 14:00:00,714.9,10.0,13.133333333333333,1017.35,7.95,14,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.6669660577827361,-0.7450881006738437,127.168
2023-06-05 15:00:00,419.43333333333334,4.6000000000000005,12.85,1017.3666666666668,8.200000000000001,15,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0.6494480483301839,-0.7604059656000308,287.192
2023-06-05 16:00:00,472.23333333333335,10.0,12.6,1017.3000000000001,8.4,16,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0.6538608952570691,-0.7566147828674933,274.088
2023-06-05 17:00:00,337.8666666666667,10.0,12.133333333333333,1017.2833333333334,8.6,17,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0.686241637868733,-0.7273736415730492,153.928
2023-06-05 18:00:00,208.0,10.0,11.816666666666668,1017.2000000000002,7.45,18,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.6988315403679,-0.7152862910660516,108.068
2023-06-05 19:00:00,113.5,10.0,11.083333333333334,1017.3000000000001,8.15,19,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.8802013911801112,-0.47460036974764036,71.308
2023-06-05 20:00:00,27.583333333333332,4.833333333333333,10.299999999999999,1017.3000000000001,8.25,20,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.8896821515530514,-0.45658040826116614,56.108
2023-06-05 21:00:00,0.5,0.0,9.766666666666667,1017.1666666666666,6.0,21,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.8073037760103595,-0.5901360972177649,53.36
2023-06-05 22:00:00,-1.1333333333333333,0.0,9.5,1017.0333333333333,5.45,22,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.7771459614569706,-0.6293203910498378,34.5
2023-06-05 23:00:00,-1.0333333333333334,0.0,9.4,1017.1333333333333,5.95,23,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.8465030377579759,-0.532383890690279,22.892
2023-06-06 00:00:00,-1.0833333333333333,0.0,9.15,1017.2000000000002,5.3,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.8402513082009659,-0.5421971404079566,7.108
2023-06-06 01:00:00,-0.8333333333333334,0.0,9.166666666666666,1017.2000000000002,5.0,1,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.7844156649195758,-0.6202354912682598,2.412
2023-06-06 02:00:00,3.5500000000000003,0.0,8.966666666666667,1017.2000000000002,6.3999999999999995,2,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.8703556959398996,-0.4924235601034673,2.256
2023-06-06 03:00:00,18.349999999999998,0.0,9.233333333333334,1017.4,5.1499999999999995,3,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.8556654912861847,-0.5175292909797204,1.584
2023-06-06 04:00:00,97.8,5.783333333333334,9.483333333333334,1017.4666666666667,5.5,4,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.745088100673844,-0.6669660577827358,2.292
2023-06-06 05:00:00,235.16,10.0,10.299999999999999,1017.5,5.8,5,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.8495859787204108,-0.5274501538170994,10.84
2023-06-06 06:00:00,342.15000000000003,8.783333333333333,11.316666666666668,1017.6,6.0,6,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.796881524713053,-0.6041356102490566,66.764
2023-06-06 07:00:00,304.78333333333336,3.516666666666667,11.5,1017.7333333333335,7.6499999999999995,7,0,0,0,0,0,1,0,6,0,0,0,1,0,1,0,0.7353090080598281,-0.6777319991457328,258.944
2023-06-06 08:00:00,268.48333333333335,0.3333333333333333,11.666666666666666,1017.8666666666667,8.450000000000001,8,0,0,0,0,0,1,0,6,0,0,0,1,0,1,0,0.8073037760103595,-0.5901360972177649,261.224
2023-06-06 09:00:00,423.7166666666667,2.4,12.049999999999999,1017.8333333333334,7.8500000000000005,9,0,0,0,0,0,1,0,6,0,0,0,1,0,1,0,0.7585135833488689,-0.6516572288214554,101.748
2023-06-06 10:00:00,668.7833333333333,6.616666666666667,13.15,1017.4333333333334,8.299999999999999,10,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.6383200909243282,-0.7697710448713678,54.552
2023-06-06 11:00:00,800.1666666666666,8.166666666666666,13.716666666666667,1017.4499999999999,8.15,11,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.5830686615841346,-0.8124228799575293,58.444
2023-06-06 12:00:00,773.25,8.0,13.883333333333333,1017.4666666666667,8.299999999999999,12,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.6450132199998786,-0.7641714114159128,63.232
2023-06-06 13:00:00,811.5166666666668,10.0,13.833333333333334,1017.1666666666666,8.5,13,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.6516572288214557,-0.7585135833488685,77.984
2023-06-06 14:00:00,715.4833333333332,10.0,14.016666666666666,1017.1833333333334,8.1,14,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.6819983600624986,-0.7313537016191703,127.756
2023-06-06 15:00:00,596.1833333333333,10.0,13.566666666666668,1016.9666666666667,7.8,15,0,0,0,0,0,1,0,6,0,0,0,1,0,1,0,0.5640065580500138,-0.8257703085462546,275.244
2023-06-06 16:00:00,469.26666666666665,10.0,13.666666666666666,1016.5833333333334,7.8,16,0,0,0,0,0,1,0,6,0,0,0,1,0,1,0,0.5971585917027866,-0.8021231927550435,270.548
2023-06-06 17:00:00,332.8833333333334,10.0,13.549999999999999,1016.4166666666666,7.5,17,0,0,0,0,0,1,0,6,0,0,0,1,0,1,0,0.6582516114220639,-0.7527979915357481,168.864
2023-06-06 18:00:00,201.78333333333333,10.0,12.85,1016.5333333333333,6.6499999999999995,18,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.5948227867513414,-0.8038568606172173,116.22
2023-06-06 19:00:00,89.16666666666667,10.0,12.200000000000001,1016.6999999999999,6.3999999999999995,19,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.631578351302498,-0.7753120572814656,92.492
2023-06-06 20:00:00,22.183333333333334,5.216666666666667,11.116666666666667,1016.7333333333335,6.05,20,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.5616021067834934,-0.8274074411415102,68.148
2023-06-06 21:00:00,0.75,0.0,10.316666666666666,1016.6666666666666,6.1000000000000005,21,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0.5924819486539304,-0.8055837265729995,58.48
2023-06-06 22:00:00,-1.4333333333333333,0.0,9.75,1016.6,4.7,22,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.6472333724764323,-0.7622919136084181,36.228
2023-06-06 23:00:00,-1.5166666666666666,0.0,9.266666666666667,1016.4333333333334,3.4499999999999997,23,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0.6734426995188999,-0.7392394270225965,19.86
2023-06-07 00:00:00,-1.45,0.0,8.85,1016.3333333333334,2.8000000000000003,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,0.6734426995188999,-0.7392394270225965,8.32
2023-06-07 01:00:00,-1.2666666666666666,0.0,8.35,1016.0166666666668,2.0500000000000003,1,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,-0.46947156278589075,-0.882947592858927,4.64
2023-06-07 02:00:00,4.483333333333333,0.0,8.200000000000001,1015.9,2.25,2,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,-0.7844156649195756,-0.6202354912682603,1.744
2023-06-07 03:00:00,22.53333333333333,0.0,7.966666666666668,1015.7666666666668,2.0,3,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,-0.8660254037844386,-0.5000000000000001,1.496
2023-06-07 04:00:00,100.45,5.716666666666666,8.633333333333333,1015.9,1.6500000000000001,4,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,-0.9750202975952507,-0.22211577899210333,2.86
2023-06-07 05:00:00,234.6,10.0,9.6,1015.7333333333335,2.45,5,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,0.7826081568524138,-0.6225146366376196,11.448
2023-06-07 06:00:00,379.2166666666667,10.0,10.366666666666667,1015.8000000000001,3.9499999999999997,6,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.6755902076156601,-0.7372773368101242,74.152
2023-06-07 07:00:00,513.3333333333334,10.0,11.416666666666666,1015.9666666666667,5.5,7,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0.5994893437436432,-0.8003827376560642,262.52
2023-06-07 08:00:00,635.5500000000001,10.0,12.683333333333332,1015.9333333333334,5.95,8,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0.6582516114220639,-0.7527979915357481,273.336
2023-06-07 09:00:00,738.2166666666667,10.0,13.716666666666667,1015.9,6.7,9,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0.7313537016191707,-0.6819983600624983,131.828
2023-06-07 10:00:00,818.0166666666668,10.0,14.283333333333333,1015.9333333333334,6.8,10,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.6845471059286886,-0.7289686274214116,67.148
2023-06-07 11:00:00,864.6666666666666,10.0,14.316666666666668,1016.0666666666666,7.0,11,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.6755902076156601,-0.7372773368101242,68.804
2023-06-07 12:00:00,865.1333333333333,10.0,14.700000000000001,1016.0333333333333,6.45,12,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.7029810574256616,-0.7112085720101373,74.928
2023-06-07 13:00:00,814.6666666666666,10.0,14.566666666666668,1016.1166666666667,7.55,13,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.6967479032106553,-0.7173160805192892,76.824
2023-06-07 14:00:00,727.0833333333334,10.0,14.1,1015.9666666666667,7.95,14,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.8556654912861847,-0.5175292909797204,123.816
2023-06-07 15:00:00,605.8000000000001,10.0,13.5,1015.9,7.45,15,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0.6360782202777636,-0.7716245833877202,279.364
2023-06-07 16:00:00,476.65000000000003,10.0,13.033333333333333,1016.0166666666668,8.6,16,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0.6383200909243282,-0.7697710448713678,278.836
2023-06-07 17:00:00,342.2,10.0,12.783333333333333,1015.9166666666666,8.25,17,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0.6647958656139381,-0.7470250712409957,159.448
2023-06-07 18:00:00,211.8166666666667,10.0,12.616666666666667,1015.9833333333332,7.25,18,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.6538608952570691,-0.7566147828674933,117.148
2023-06-07 19:00:00,104.23333333333333,10.0,11.966666666666667,1015.8333333333334,8.75,19,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.8829475928589269,-0.4694715627858908,77.42
2023-06-07 20:00:00,24.316666666666666,6.05,11.233333333333334,1015.7333333333335,8.450000000000001,20,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.918216106880274,-0.3960797660391569,65.408
2023-06-07 21:00:00,0.9,0.0,10.700000000000001,1015.7666666666668,7.1000000000000005,21,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0.901329161445462,-0.43313478586696347,47.496
2023-06-07 22:00:00,-0.3666666666666667,0.0,9.966666666666667,1015.4666666666667,8.1,22,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,0.8556654912861847,-0.5175292909797204,31.744
2023-06-07 23:00:00,-1.1166666666666667,0.0,9.4,1015.4,6.95,23,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,0.8511166724369996,-0.5249765803345603,22.44
2023-06-08 00:00:00,-1.2,0.0,8.916666666666666,1015.0666666666666,6.1000000000000005,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0.8208170424930672,-0.5711911963195286,8.288
2023-06-08 01:00:00,0.0,0.0,8.833333333333334,1014.9666666666667,4.3999999999999995,1,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0.6338309673987103,-0.7734715927339639,5.14
2023-06-08 02:00:00,4.266666666666667,0.0,8.783333333333333,1014.6999999999999,3.4,2,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0.5125425007998647,-0.8586618571206134,2.696
2023-06-08 03:00:00,21.633333333333336,0.0,8.716666666666667,1014.3166666666666,2.6999999999999997,3,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0.6967479032106553,-0.7173160805192892,1.828
2023-06-08 04:00:00,100.71666666666665,5.783333333333334,8.966666666666667,1014.0666666666666,3.35,4,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0.6494480483301839,-0.7604059656000308,1.872
2023-06-08 05:00:00,237.7166666666667,10.0,9.866666666666667,1013.7833333333333,2.85,5,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0.4817536741017157,-0.8763066800438634,10.812
2023-06-08 06:00:00,379.2833333333333,10.0,10.583333333333334,1013.7166666666667,4.5,6,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0.3907311284892735,-0.9205048534524405,78.272
2023-06-08 07:00:00,510.1666666666667,10.0,11.333333333333334,1013.6666666666666,5.75,7,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0.41998013496090936,-0.9075332975920037,273.756
2023-06-08 08:00:00,633.25,10.0,12.9,1013.4,5.3,8,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0.5711911963195283,-0.8208170424930674,291.816
2023-06-08 09:00:00,738.1999999999999,10.0,14.066666666666668,1013.1,5.5,9,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0.4898897182380864,-0.8717844136967627,127.96
2023-06-08 10:00:00,815.9499999999999,10.0,15.4,1012.6666666666666,5.8,10,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0.5397506579515132,-0.8418249385952572,75.044
2023-06-08 11:00:00,858.0500000000001,10.0,16.166666666666668,1012.5333333333333,5.5,11,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0.6604386239990074,-0.7508800329814994,77.66
